Mile_Category_<X,Cuisine,Restaurant_Name,Distance,On_campus,Gworld,Menu,Hours
10,Korean,Seoul Food,8.5,no,no,https://www.seoulfooddc.com/home/menu,Sun-M:CLOSED; T-Sat: 4:30PM-8:30PM
10,Korean,BIBIBOP,9,no,no,https://www.bibibop.com/menu/,Sun-Sat: 10:30AM-9:30PM
10,Italian,Olazzo,8.2,no,no,https://www.olazzo.com/food,M-Tu: 4PM-9:30PM; W-Sun: 11:30AM-10PM
10,Italian,Assaggi Osteria,9.5,no,no,https://www.assaggiosteria.com/menu/assaggi-osteria/,Sun-Sat: 5PM-9PM
10,Italian,Osteria da Nino,6.8,no,no,https://www.osteriadaninova.com/menus/,Sun-Sat: 4PM-10PM
10,Italian,Pistone's Italian Inn,8.6,no,no,https://www.pistoneitalianinn.com/our-menu,Sun-Sat: 11AM-11PM
10,Italian,Vicino,8.6,no,no,https://slicelife.com/restaurants/md/silver-spring/20910/vicino-restaurante-italiano/menu?direct_web_menu=true&utm_campaign=direct_websites,Sun: 1PM-9:30PM; M-Sat: 11:30AM-10PM
10,Mexican,Uncle Julio's,9.3,no,no,https://unclejulios.com/locations/bethesda-row/,Sun-Sat: 11AM-10PM
10,Mexican,Los Toltecos,9.7,no,no,https://www.lostoltecosalexandria.com/menu,M-Sat: 12PM-10PM; Sun: 12PM-8PM
10,Mexican,Tortas Y Tacos La Chiquita,6.2,no,no,https://www.toasttab.com/tortas-y-tacos-la-chiquita-2911-columbia-pike/v3/?mode=fulfillment,Sun-Sat: 9AM-10PM
10,Mexican,Tequila & Taco,9.4,no,no,https://alxhgr.com/HGR-All-Logos-04_TNTMENU.pdf,Sun-Th: 11AM-9:30PM; F-Sat: 11AM-10PM
10,Mexican,Cielo Rojo,8.5,no,no,https://www.cielo-rojo.com/covid-19-updates,M: 3PM-9PM; Tu-F: 11:30AM-9:30PM; Sat-Sun: 9AM-9:30PM
10,Thai,Kao Thai,9.1,no,no,http://www.kaothairestaurant.com/Menu.html,Sun-Sat: 11AM-10PM
10,Thai,Kin Da,7.8,no,no,https://kindatakoma.com/wp-content/uploads/2021/07/Carryout.pdf,M-F: 11:30AM-8:15PM; Sat-Sun: 12PM-8:15PM
10,Thai,Thai Orchid's Kitchen,8.3,no,no,https://www.thaiorchids2314.com/,M:CLOSED; Tu-Th: 11AM-9PM; F-Sun: 11AM-9:30PM
10,Thai,Pasara Thai,9.4,no,no,http://www.pasarathairestaurant.com/menu.html,M-F: 11:30AM-9PM; Sat-Sun: 12PM-9PM
10,Thai,Thai Peppers,6.6,no,no,https://www.thaipeppersva.com/menu/alexandria/,M: CLOSED; Tu-F: 11AM-9PM; Sat: 12PM-9PM; Sun: 5PM-9PM
10,Mediterranean,Vaso's Kitchen,8.3,no,no,https://vasos-kitchen.com/,Sun-M: CLOSED; Tu-Sat: 11AM-10PM
10,Mediterranean,Al-Quds,9.8,no,no,https://www.jerusalem-va.net/menu/,Sun-F: 10AM-9PM; Sun: 11AM-5PM
10,Mediterranean,Talia's Cuzina,10,no,no,https://www.taliascuzina.com/menu,M-Sat: 10AM-7PM; Sun: CLOSED
10,Mediterranean,Maya Bistro,6.8,no,no,https://bistromaya.com/menu/,Sun-Sat: 11AM-10PM
10,Mediterranean,The Great Greek Mediterranean Grill,8.3,no,no,https://www.thegreatgreekgrill.com/menu,Sun-Sat: 11AM-9PM
10,Indian,Raaga,8.6,no,no,https://www.raagarestaurant.com/,Sun-Sat: 12PM-9:30PM
10,Indian,Namaste Jalsa,8.7,no,no,http://www.namastejalsamenus.com/#/restaurants/147108/10036,Sun-Sat: 11:30AM-10PM
10,Indian,Passage to India,8,no,no,http://www.passagetoindia.info/menu,W-Sun: 11:30AM-9:30PM; Tu: CLOSED
10,Indian,Ghar-E-Kabab,9.1,no,no,https://www.gharekabab.com/,Tu-Sun: 11:30AM-9PM; M: CLOSED
10,Indian,Kadhai,8.1,no,no,https://kadhai.com/menu.php,Sun-Sat: 11:30AM-9PM
